Business Name,UBI#,Business Type,Principal Office Address,Registered Agent Name,Status
"RIVERWOODS CHIROPRACTIC & MASSAGE, PLLC",603 153 890,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"820 OCEAN BEACH HWY, STE 116, LONGVIEW, WA, 98632-4081, UNITED STATES",HAROLD WEST,Active
ROBERT SCHMIDT CHIROPRACTIC PC,602 753 798,WA PROFESSIONAL SERVICE CORPORATION,"4418 RUCKER AVE SUITE A, EVERETT, WA, 98203, UNITED STATES",ROBERT  SCHMIDT,Active
ROBINSON CHIROPRACTIC CENTER LLC,603 600 014,WA LIMITED LIABILITY COMPANY,"10709 N DIVISION ST, SPOKANE, WA, 99218, UNITED STATES",DAVID ROBINSON,Active
"ROBINSON FAMILY CHIROPRACTIC, PLLC.",604 230 437,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"26832 MAPLE VALLEY BLACK DIAMOND RD SE, MAPLE VALLEY, WA, 98038-8309, UNITED STATES",CEDAR RIVER LAW,Active
"ROCHESTER CHIROPRACTIC CENTER, P.C.",601 399 289,WA PROFESSIONAL SERVICE CORPORATION,"18234 SARGENT RD SW, ROCHESTER, WA, 98579-8554, UNITED STATES",CHAD A MARTIN,Active
"RODY CHIROPRACTIC CLINIC, INC.",602 191 061,WA PROFIT CORPORATION,"10614 CANYON RD E, PUYALLUP, WA, 98373-4257, UNITED STATES",GORDON M RODY,Active
ROMNEY CHIROPRACTIC LLC,603 207 095,WA LIMITED LIABILITY COMPANY,"24255 104TH AVE SE, KENT, WA, 98030-4972, UNITED STATES",TRAVIS ROMNEY,Active
RONNING CHIROPRACTIC PLLC,604 322 235,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"3116A 188TH ST NE, ARLINGTON, WA, 98223-9812, UNITED STATES",BOOKS DONE QUICK,Active
ROOT CHIROPRACTIC CLINIC CORP.,603 119 501,WA PROFIT CORPORATION,"1808 RICHARDS RD, STE 106, BELLEVUE, WA, 98005-3982, UNITED STATES",CHIALIN ESTHER CHENG,Active
"ROOT.  INTEGRATIVE CHIROPRACTIC, PLLC",603 069 206,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"2026 NW MARKET STREET, SEATTLE, WA, 98107, UNITED STATES",KOURTNEY LOCKWOOD,Administratively Dissolved
ROOTED IN WELLNESS CHIROPRACTIC PLLC,604 618 672,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"791 E MCLEOD RD, BELLINGHAM, WA, 98226-8092, UNITED STATES",JO BATES,Active
ROOTS CHIROPRACTIC,,NAME RESERVATION,,,Expired
ROSSER CHIROPRACTIC PS,602 738 380,WA PROFESSIONAL SERVICE CORPORATION,"705 4TH AVE E, OLYMPIA, WA, 98506, UNITED STATES",ANDY ROSSER,Delinquent
"ROXBURY CHIROPRACTIC CLINIC, INC.",601 705 373,WA PROFIT CORPORATION,"2656 SW ROXBURY STREET, SEATTLE, WA, 98126, UNITED STATES",DR LAWRENCE A CLYMAN,Inactive
"ROYBAL CHIROPRACTIC, P.S.",602 196 992,WA PROFESSIONAL SERVICE CORPORATION,"1203 W FRANCIS AVE, SPOKANE, WA, 99205-6640, UNITED STATES",MARIO D ROYBAL,Active
RPS CHIROPRACTIC TABLES LLC,603 406 100,WA LIMITED LIABILITY COMPANY,"3504 200TH PL SW, LYNNWOOD, WA, 98036, UNITED STATES",MIKE RUSNAK,Administratively Dissolved
"RUCKER AVENUE CHIROPRACTIC CENTER, PS",602 977 368,WA PROFESSIONAL SERVICE CORPORATION,"3231 RUCKER AVE, EVERETT, WA, 98201-4224, UNITED STATES",LELAND PATRON,Active
"RUCKER AVENUE CHIROPRACTIC OFFICE, INC., P. S.",600 160 746,WA PROFESSIONAL SERVICE CORPORATION,,RONALD E BRALEY,Inactive
RUSTON FAMILY CHIROPRACTIC PLLC,604 131 610,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"5113 N PEARL ST, RUSTON, WA, 98407, UNITED STATES",LEGALCORP SOLUTIONS LLC,Active
"RUTLEDGE CHIROPRACTIC CARE, INCORPORATED, P.S.",600 372 893,WA PROFESSIONAL SERVICE CORPORATION,,GARY L RUTLEDGE,Inactive
RYNO CHIROPRACTIC LLC,604 481 878,WA LIMITED LIABILITY COMPANY,"9212 E MONTGOMERY AVE STE 202, SPOKANE VLY, WA, 99206-4267, UNITED STATES",RYAN STROH,Active
SALINA FAMILY CHIROPRACTIC PLLC,602 925 179,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"1605 W GARLAND AVE, SPOKANE, WA, 99205-2620, UNITED STATES",JOSHUA SALINA,Active
SALISH CHIROPRACTIC INC.,603 566 095,WA PROFIT CORPORATION,"1919 CORNWALL AVE, BELLINGHAM, WA, 98225-3659, UNITED STATES",OFFICE MANAGER,Active
"SAMMAMISH CHIROPRACTIC, P.S.",602 140 263,WA PROFESSIONAL SERVICE CORPORATION,,DAVID M WARWICK DC,Inactive
"SANDERSON CHIROPRACTIC CARE, PLLC",602 276 274,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"22811 MERIDIAN AVE E #B, GRAHAM, WA, 98338, UNITED STATES",STEVEN D SANDERSON DC,Administratively Dissolved
"SANDERSON CHIROPRACTIC, INC.",602 099 209,WA PROFIT CORPORATION,,DAVID NAKATA,Inactive
"SANDIFER CHIROPRACTIC CLINIC, INC. P.S.",600 307 518,WA PROFESSIONAL SERVICE CORPORATION,,LEAMON C SANDIFER,Administratively Dissolved
"SATHER CHIROPRACTIC CENTER, PLLC",603 505 789,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"1901 N STATE ST, STE C, BELLINGHAM, WA, 98225-4645, UNITED STATES",JEFFREY SATHER,Active
SAUNDERS AMERICAN CHIROPRACTIC CLINIC OF RENTON P.S.,601 083 740,WA PROFESSIONAL SERVICE CORPORATION,,JERRY N PARKS,Inactive
"SAVANNAH CHIROPRACTIC, P.S.",601 400 540,WA PROFESSIONAL SERVICE CORPORATION,"415 N OLYMPIC AVE, ARLINGTON, WA, 98223-1244, UNITED STATES",DR LESLIE V PETERSON,Active
SAWVELL FAMILY CHIROPRACTIC PLLC,603 357 897,WA PROFESSIONAL LIMITED LIABILITY COMPANY,,KRISTINA MAHAN SAWVELL,Administratively Dissolved
"SCHIFFMAN CHIROPRACTIC, P.S.",602 140 190,WA PROFIT CORPORATION,,STEPHEN W SCHIFFMAN DC,Inactive
SCHIRO CONSTRUCTION LLC,602 627 771,WA LIMITED LIABILITY COMPANY,"7106 35TH ST W, UNIVERSITY PLACE, WA, 98466, UNITED STATES",LELAND J SCHIRO,Inactive
SCHIRO ENTERPRISES LLC,603 484 802,FOREIGN LIMITED LIABILITY COMPANY,"1980 POST OAK BLVD #1500, HOUSTON, TX, 77056, UNITED STATES",JOHNNY SCHIRO,Terminated
"SCHIRO FINANCIAL, INC.",601 718 623,WA PROFIT CORPORATION,"6314 19TH ST W STE 17, FIRCREST, WA, 98466-6223, UNITED STATES",HEATHER  SCHIRO STURN,Active
"SCHMIDT CHIROPRACTIC CENTER, P.S., INC.",601 449 343,WA PROFIT CORPORATION,"310 CLEVELAND AVE SE, TUMWATER, WA, 98501-3310, UNITED STATES",SCHMIDT CHIROPRACTIC CT,Active
"SCHMIDT FAMILY CHIROPRACTIC, PLLC",601 845 583,WA PROFESSIONAL LIMITED LIABILITY COMPANY,,WILLIAM SCHMIDT,Inactive
"SCHMIDT FAMILY CHIROPRACTIC, PLLC",602 980 016,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"4418 RUCKER AVE STE A, EVERETT, WA, 98203-2397, UNITED STATES",ROBERT P SCHMIDT,Active
"SCHOEB CHIROPRACTIC, PLLC",604 076 496,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"3727 CALIFORNIA AVE SW STE 2A, SEATTLE, WA, 98116-4303, UNITED STATES",RYAN SCHOEB,Active
"SCHRAMM FAMILY CHIROPRACTIC, PLLC",604 337 895,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"2510 FAIRVIEW AVE E STE 100, SEATTLE, WA, 98102-3286, UNITED STATES","SCHRAMM FAMILY CHIROPRACTIC, PLLC",Active
"SCHULTZ CHIROPRACTIC, PLLC",602 557 825,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"17432 SMOKEY POINT BLVD STE 105, ARLINGTON, WA, 98223, UNITED STATES",RYAN SCHULTZ,Active
SCHWARTZMAN CHIROPRACTIC CLINIC LLC,602 165 469,WA LIMITED LIABILITY COMPANY,"222   2ND  AVE., LEWISTON, ID, 83501, UNITED STATES",SHERI L WORLE SCHWARTZMAN,Active
"SCHWARTZMAN CHIROPRACTIC CLINIC, INC., A PROFESSIONAL       SERVICE CORPORATION",601 891 064,WA PROFESSIONAL SERVICE CORPORATION,,DR LAUNY SCHWARTZMAN,Inactive
"SCHWEYEN CHIROPRACTIC, P.S.",603 034 826,WA PROFESSIONAL SERVICE CORPORATION,"719 S LAUREL ST, PORT ANGELES, WA, 98362, UNITED STATES","SCHWEYEN CHIROPRACTIC, PS",Active
"SCODELLER CHIROPRACTIC, A PROFESSIONAL CORPORATION",602 853 268,FOREIGN PROFIT CORPORATION,"436 W BAKERVIEW SUITE 102, BELLINGHAM, WA, 98226, UNITED STATES",DANIEL SCODELLER,Terminated
"SCOTT CHIROPRACTIC CENTER, INC.",602 168 717,WA PROFIT CORPORATION,"5625 N WALL ST, SPOKANE, WA, 99205-6435, UNITED STATES",DR SCOTT MAYSTROVICH,Active
"SCOTT FAMILY WELLNESS CHIROPRACTIC, PLLC",602 507 302,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"131 NE ROY BOAD RD UNIT A, BELFAIR, WA, 98528-8649, UNITED STATES",JOSEF SCOTT,Active
"SEAHURST CHIROPRACTIC CLINIC, INC., P.S.",601 358 891,WA PROFESSIONAL SERVICE CORPORATION,"15811 AMBAUM BLVD SW STE 110, BURIEN, WA, 98166-3071, UNITED STATES",HEATHER HOSKINS,Active
SEATAC BURIEN CHIROPRACTIC CORP.,602 001 964,WA PROFIT CORPORATION,,RALPH VISCO,Inactive
SEATTLE CENTRAL CHIROPRACTIC PLLC,602 264 485,WA PROFESSIONAL LIMITED LIABILITY COMPANY,,ISLAMUDDIN WARDAK,Inactive
"SEATTLE CHIROPRACTIC HEALTH CENTER, P.S.",602 170 938,WA PROFESSIONAL SERVICE CORPORATION,,DR DEANE STUDER DC,Inactive
"SEATTLE CHIROPRACTIC LIFE CENTER, PLLC",603 499 982,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"323 QUEEN ANNE AVE N STE 101, SEATTLE, WA, 98109, UNITED STATES",JEFFREY SUVER,Active
SEATTLE CHIROPRACTIC SOCIETY,601 561 760,WA NONPROFIT CORPORATION,,KENNETH B SHOTWELL DC,Inactive
"SEATTLE FAMILY CHIROPRACTIC, PLLC",603 300 260,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"812 MCGINN MANOR LN, CARY, NC, 27519-7226, UNITED STATES",DR JILL GOLDBERG,Active
SEATTLE JOINT CHIROPRACTIC PC,603 390 193,WA PROFESSIONAL SERVICE CORPORATION,,KRIS BIRKELAND,Administratively Dissolved
"SEATTLE LIFE CHIROPRACTIC, P.S.",602 073 076,WA PROFESSIONAL SERVICE CORPORATION,,JEFFREY M SUVER,Administratively Dissolved
SEATTLE NORTHEAST CHIROPRACTIC PLLC,604 397 424,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"11734 15TH AVE NE, SEATTLE, WA, 98125-5026, UNITED STATES","SHKGROUP, PLLC",Active
SEATTLE PEDIATRIC CHIROPRACTIC PC,603 377 019,WA PROFESSIONAL SERVICE CORPORATION,"1131 NW 60TH ST, SEATTLE, WA, 98107-2919, UNITED STATES",SEATTLE PEDIATRIC CHIROPRACTIC PC,Active
SEATTLE SPORTS CHIROPRACTIC & REHABILITATION PLLC,604 061 460,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"4634 E MARGINAL WAY S #C-120, SEATTLE, WA, 98134, UNITED STATES",MICHAEL ROSS,Active
"SEED OF LIFE CHIROPRACTIC AND WELLNESS, LLC",604 016 683,WA LIMITED LIABILITY COMPANY,"753 N 35TH ST STE 108F, SEATTLE, WA, 98103-8889, UNITED STATES",SHARONROSE SAMELAK,Active
"SEEGERS CHIROPRACTIC INC., P.S.",602 263 342,WA PROFESSIONAL SERVICE CORPORATION,,"CHERRELYN SEEGERS, D.C.",Inactive
"SEEGERS CHIROPRACTIC INC.,P.S.",604 141 005,WA PROFESSIONAL SERVICE CORPORATION,"511 E MAGNOLIA #200, BELLINGHAM, WA, 98225, UNITED STATES",CHERRELYN SEEGERS,Active
SEGAL CHIROPRACTIC CORPORATION,603 579 615,FOREIGN PROFIT CORPORATION,"6501 SE KING RD, MILWAUKIE, OR, 97222-2538, UNITED STATES",KEVIN SEGAL,Active
"SELAH FAMILY CHIROPRACTIC, P.S.",602 131 394,WA PROFESSIONAL SERVICE CORPORATION,"318 S 1ST ST, SELAH, WA, 98942-1339, UNITED STATES",DAVID LEMMON,Active
"SEO CHIROPRACTIC CLINIC, LLC",603 291 180,WA LIMITED LIABILITY COMPANY,"30640 PACIFIC HWY S #D, FEDERAL WAY, WA, 98003, UNITED STATES",YOUNGSEO,Administratively Dissolved
SEQUIM CHIROPRACTIC AND WELLNESS PS,603 188 711,WA PROFESSIONAL SERVICE CORPORATION,"512 E WASHINGTON ST, SUITE 2, SEQUIM, WA, 98382-3598, UNITED STATES",TIMOTHY CARD,Active
"SEQUIM CHIROPRACTIC CLINIC, P.C.",602 254 902,WA PROFESSIONAL SERVICE CORPORATION,,ALAN E MILLET,Administratively Dissolved
SEQUIM FAMILY CHIROPRACTIC CENTER LLC,603 612 934,WA LIMITED LIABILITY COMPANY,"415 NORTH SEQUIM AVE, SEQUIM, WA, 98382, UNITED STATES",ROBIN THOMAS,Active
"SEQUIM HEALTH AND CHIROPRACTIC, LLC",604 176 085,WA LIMITED LIABILITY COMPANY,"625 N 5TH AVENUE STE 1, SEQUIM, WA, 98382, UNITED STATES",ROBERT BEAN,Active
"SERENITY CHIROPRACTIC, PLLC",603 070 278,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"1427 116TH AVE NE, BELLEVUE, WA, 98004-3807, UNITED STATES",JOY AARDAPPEL,Active
"SETH ANDERSON CHIROPRACTIC, P.S.",602 818 902,WA PROFESSIONAL SERVICE CORPORATION,"6720 REGENTS BLVD STE 108, UNIVERSITY PLACE, WA, 98466, UNITED STATES",CARL R PETERSON,Administratively Dissolved
SEWARD PARK CHIROPRACTIC PLLC,602 508 806,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"5370 WILSON AVE S, SEATTLE, WA, 98118, UNITED STATES",MARK A CLAUSEN,Inactive
"SHAW CHIROPRACTIC CENTER, P.S.",600 322 094,WA PROFIT CORPORATION,"1380 WATSON RD, ELLENSBURG, WA, 98926, UNITED STATES",DR JAMES SHAW,Active
"SHEEN CHIROPRACTIC, INC.",603 118 781,WA PROFIT CORPORATION,"1943 MAIN STREET, FERNDALE, WA, 98248, UNITED STATES",ELLEN SHEEN,Administratively Dissolved
"SHEPHERD FAMILY CHIROPRACTIC, PLLC",604 404 709,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"1500 WESTLAKE AVE N, SUITE 118, SEATTLE, WA, 98109-3036, UNITED STATES",EDWIN SHEPHERD III,Active
"SHERWOOD CHIROPRACTIC, PS",603 184 868,WA PROFESSIONAL SERVICE CORPORATION,"435 E. SUNSET WAY, ISSAQUAH, WA, 98027, UNITED STATES",DR. MARK SHERWOOD,Active
"SHERWOOD FAMILY CHIROPRACTIC, P.S.",602 093 953,WA PROFESSIONAL SERVICE CORPORATION,"16810-108TH AVE SE, RENTON, WA, 98055, UNITED STATES",KURT  SHERWOOD,Active
"SHOTWELL CHIROPRACTIC, PS",602 003 501,WA PROFESSIONAL SERVICE CORPORATION,"17317 27TH AVE NE UNIT 102, MARYSVILLE, WA, 98271-4710, UNITED STATES","SHOTWELL CHIROPRACTIC, PS",Active
"SICILIA CHIROPRACTIC CLINIC, P.S.",602 199 812,WA PROFESSIONAL SERVICE CORPORATION,"611 W GARLAND, SPOKANE, WA, 99205, UNITED STATES",RAYMOND SICILIA,Administratively Dissolved
"SIERRA CHIROPRACTIC, INC.",601 799 317,FOREIGN PROFIT CORPORATION,,C T CORPORATION SYSTEM,Terminated
SILER CHIROPRACTIC AND REHABILITATION LLC,603 311 130,WA LIMITED LIABILITY COMPANY,"100 N MULLAN RD #103, SPOKANE VALLEY, WA, 99206, UNITED STATES",ADAM SILER,Administratively Dissolved
"SILLITO CHIROPRACTIC CENTER, P.S.",602 484 278,WA PROFESSIONAL SERVICE CORPORATION,"8711 32ND ST E, EDGEWOOD, WA, 98371-1944, UNITED STATES",DERROL SILLITO D C,Active
"SILVER CITY CHIROPRACTIC, P.S.",602 148 666,WA PROFESSIONAL SERVICE CORPORATION,"9220 RIDGETOP BLVD NW STE 100, SILVERDALE, WA, 98383-8556, UNITED STATES",JOSEPH R CHRISTMAN,Active
SIMMONDS CHIROPRACTIC AND WELLNESS INC.,603 602 318,WA PROFIT CORPORATION,"9621 MICKELBERRY RD NW #108, SILVERDALE, WA, 98383, UNITED STATES",CASEY JOHN SIMMENDS,Administratively Dissolved
SIMMONDS CHIROPRACTIC LLC,603 149 741,WA LIMITED LIABILITY COMPANY,"2417 PACIFIC AVE SE, OLYMPIA, WA, 98501-2052, UNITED STATES",MARK SIMMONDS,Active
"SIMMONS CHIROPRACTIC CLINIC, P.S.",600 147 773,WA PROFESSIONAL SERVICE CORPORATION,"1720 S 72ND ST, SUITE 102, TACOMA, WA, 98408-1297, UNITED STATES",KEVIN LYTER,Active
"SIMMONS CHIROPRACTIC, P.C.",601 911 546,WA PROFESSIONAL SERVICE CORPORATION,"361 E MAIN ST, OTHELLO, WA, 99344-1055, UNITED STATES",DR. SHEILA D. SIMMONS,Active
"SIMPLE CHIROPRACTIC FAMILY HEALTHCARE, PLLC",602 356 686,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"970 W BROADWAY #585, JACKSON, WY, 83001, UNITED STATES",AARON CARMICHAEL,Inactive
"SIMPLE CHIROPRACTIC FAMILY HEALTHCARE, PLLC",602 827 747,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"218 WASHINGTON AVE S, ORTING, WA, 98360, UNITED STATES",TROY JAMES MUNSON DC,Inactive
"SIMPLY CHIROPRACTIC, INC.",603 118 157,WA PROFIT CORPORATION,"270 SE CABOT DR STE 4, OAK HARBOR, WA, 98277-3702, UNITED STATES",TOBIN PANATTONI,Active
"SINGLETON CHIROPRACTIC, P.S.",602 451 623,WA PROFESSIONAL SERVICE CORPORATION,"620 N EMERSON AVE STE 303, WENATCHEE, WA, 98801-6619, UNITED STATES",SINGLETON CHIROPRACTIC P.S.,Active
SINGLETON FAMILY CHIROPRACTIC LLC,604 458 148,WA LIMITED LIABILITY COMPANY,"105 N PARKWAY AVE, BATTLE GROUND, WA, 98604-9129, UNITED STATES",NICHOLAS SINGLETON,Delinquent
"SKAGIT CHIROPRACTIC, PLLC",603 451 803,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"160 CASCADE PL STE 106, BURLINGTON, WA, 98233, UNITED STATES",JESSICA NOBLET,Administratively Dissolved
SKAGIT RIVER CHIROPRACTIC P.S. INC.,602 009 936,WA PROFESSIONAL SERVICE CORPORATION,"830 E FAIRHAVEN AVE, BURLINGTON, WA, 98233, UNITED STATES",MARIA L KITZMAN,Active
SKAGIT VALLEY CHIROPRACTIC LLC,604 398 929,WA LIMITED LIABILITY COMPANY,"790 S WALNUT ST, BURLINGTON, WA, 98233-2246, UNITED STATES",SKAGIT VALLEY CHIROPRACTIC,Administratively Dissolved
"SKAMANIA CHIROPRACTIC AND REHABILITATION, PLLC",603 215 377,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"138 NW 2ND AVE, STEVENSON, WA, 98648, UNITED STATES",MITZI FERRILL,Active
"SKINNER CHIROPRACTIC CLINIC, P.C.",601 301 773,WA PROFESSIONAL SERVICE CORPORATION,,PAULETTE FLORIO,Inactive
SKY CHIROPRACTIC AND MASSAGE PS INC,603 395 404,WA PROFIT CORPORATION,"757 RAINIER AVE S, SUITE 3, RENTON, WA, 98057-3200, UNITED STATES",SKY BOULOM,Active
"SKY CHIROPRACTIC BELLEVUE, PS, INC",603 149 536,WA PROFIT CORPORATION,"12505 BEL-RED RD STE 107, BELLEVUE, WA, 98005, UNITED STATES",SKY BOULOM,Administratively Dissolved
"SKY CHIROPRACTIC, INC., P.S.",602 022 874,WA PROFESSIONAL SERVICE CORPORATION,"1420 KING ST STE 101, BELLINGHAM, WA, 98229-6264, UNITED STATES",CJ SERVICES CORPORATION,Active
"SKY VALLEY CHIROPRACTIC CLINIC, P.S.",601 594 210,WA PROFESSIONAL SERVICE CORPORATION,,DANIEL L PELTONEN,Administratively Dissolved
"SLAZINIK CHIROPRACTIC, PLLC",603 061 623,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"915 N. PINES RD, SPOKANE VALLEY, WA, 99206, UNITED STATES",GREGG R SMITH,Administratively Dissolved
"SLOAN FAMILY CHIROPRACTIC, P.S.",602 569 986,WA PROFESSIONAL SERVICE CORPORATION,"911 5TH AVE SE STE 202, OLYMPIA, WA, 98501-1534, UNITED STATES",DAVID SLOAN,Active
"SMALL FAMILY CHIROPRACTIC, PS",603 572 370,WA PROFESSIONAL SERVICE CORPORATION,"1033 REGENTS BLVD, #203, FIRCREST, WA, 98466, UNITED STATES",KEVIN SMALL,Active
"SMART CHIROPRACTIC, PLLC",603 030 515,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"10909 CROCUS PLACE NW, SILVERDALE, WA, 98383, UNITED STATES",KITSAP CORPORATE SERVICES INC,Active
SMITH CHIROPRACTIC INC,602 612 361,WA PROFIT CORPORATION,"1487 NE DAWN RD, BREMERTON, WA, 98311-3122, UNITED STATES",GRAEME SMITH,Active
"SMITH CHIROPRACTIC NORTHWEST, PLLC",603 106 397,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"906 NE 45TH ST, SEATTLE, WA, 98105-4779, UNITED STATES",OLDHAM & FRANCIS PS,Delinquent
"SMITH FAMILY CHIRO, PLLC",602 980 702,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"3525 46TH ST NE, TACOMA, WA, 98422, UNITED STATES",BRANDI PHERNETTON,Inactive
"SMITH FAMILY CHIROPRACTIC, P.S.",602 351 704,WA PROFESSIONAL SERVICE CORPORATION,"34730 PACIFIC HWY S, FEDERAL WAY, WA, 98003, UNITED STATES",A. COLBY PARKS,Inactive
"SMITHSON CHIROPRACTIC, P.L.L.C.",602 015 144,WA PROFESSIONAL LIMITED LIABILITY COMPANY,,STUART SMITHSON,Inactive
"SMURRO CHIROPRACTIC CORP., P.S.",601 911 904,WA PROFESSIONAL SERVICE CORPORATION,"9873 BRIDGEPORT WAY SW, LAKEWOOD, WA, 98499-2895, UNITED STATES",NICHOLAS WILLIAM SMURRO,Active
SNOHOMISH FAMILY CHIROPRACTIC LLC,604 187 211,WA LIMITED LIABILITY COMPANY,"112 AVENUE D STE A, SNOHOMISH, WA, 98290-2743, UNITED STATES",MORGAN BINNIE,Active
"SNOHOMISH NATURAL HEALTH CHIROPRACTIC, PS",602 242 173,WA PROFESSIONAL SERVICE CORPORATION,"302 MAPLE AVE, SNOHOMISH, WA, 98290-2526, UNITED STATES",PATRICK CHONZENA DC,Active
SNOQUALMIE RIDGE CHIROPRACTIC PLLC,602 741 953,WA LIMITED LIABILITY COMPANY,"8026 DOUGLAS AVE SE STE 102, SNOQUALMIE, WA, 98065-6313, UNITED STATES",DR BENJAMIN BRITTON,Active
"SNYDER CHIROPRACTIC CENTER, P.S.",601 021 857,WA PROFESSIONAL SERVICE CORPORATION,"3205 W KENNEWICK AVE, KENNEWICK WA, KENNEWICK, WA, 99336-2919, UNITED STATES",DUANE SNYDER,Active
"SOFT TOUCH CHIROPRACTIC, INC PC",601 780 754,WA PROFESSIONAL SERVICE CORPORATION,,T B TAYLOR III DC,Administratively Dissolved
"SOICHIRO, INC.",601 802 352,WA PROFIT CORPORATION,,JEFFERY M REINER,Inactive
SOLUTION CHIROPRACTIC LLC,603 586 344,WA LIMITED LIABILITY COMPANY,"1201 3RD AVE, #180, SEATTLE, WA, 98101-3027, UNITED STATES",NIMA SAMIEE NEJAD,Active
"SOREM FAMILY CHIROPRACTIC, P.S.",602 491 301,WA PROFESSIONAL SERVICE CORPORATION,"4631 WHITMAN LN SE, LACEY, WA, 98513, UNITED STATES",MONTI DEVLIN SOREM,Administratively Dissolved
SORENSEN CHIROPRACTIC L.L.C.,602 474 840,WA LIMITED LIABILITY COMPANY,"532 N 5TH AVE, SEQUIM, WA, 98382-3079, UNITED STATES",JASON JUDD,Active
"SOUND CHIROPRACTIC, INC.",602 194 404,WA PROFIT CORPORATION,"2301 NE BLAKELEY ST, STE 102, SEATTLE, WA, 98105-3293, UNITED STATES","CORPSERVE, INC.",Active
"SOUND FAMILY AND SPORTS CHIROPRACTIC, PLLC",603 392 438,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"12138 MUKILTEO SPEEDWAY, STE M103, MUKILTEO, WA, 98275-5738, UNITED STATES",MONTE ALTON,Active
"SOUND HEALTH CHIROPRACTIC, LLC",602 926 222,WA LIMITED LIABILITY COMPANY,"1218 29TH STEET, SUITE B, ANACORTES, WA, 98221, UNITED STATES",DAVID COX,Active
SOUTH KING COUNTY CHIROPRACTIC SOCIETY,601 660 228,WA NONPROFIT CORPORATION,"1020 A ST SE STE 4, AUBURN, WA, 98002-6063, UNITED STATES",DONALD OLSON,Active
SOUTH PUGET SOUND CHIROPRACTORS ASSOCIATION,601 187 628,WA NONPROFIT CORPORATION,,DAMON J ERNST,Inactive
"SOUTH TACOMA CHIROPRACTIC AND REHABILITATION, PLLC",603 430 189,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"8833 PACIFIC AVE STE C, TACOMA, WA, 98444, UNITED STATES",ARIC TURRUBIATE,Active
SOUTHCENTER CHIROPRACTIC CLINIC LLC,601 819 518,WA LIMITED LIABILITY COMPANY,,KARAMJIT S VIRK,Inactive
"SOUTHSIDE CHIROPRACTIC CENTER, INC., P.S.",601 843 440,WA PROFESSIONAL SERVICE CORPORATION,,DANIEL A RAAS,Inactive
"SOUTHSIDE CHIROPRACTIC, INCORPORATED",602 259 660,WA PROFIT CORPORATION,,KATRINA BOYD,Administratively Dissolved
"SPANAWAY CHIROPRACTIC AND REHABILITATION, INC",604 423 180,WA PROFIT CORPORATION,"129 176TH ST S STE A, SPANAWAY, WA, 98387-4616, UNITED STATES",JOHN QUIGLEY,Active
"SPARKS CHIROPRACTIC HEALTH CENTER, PSC.",602 381 211,WA PROFESSIONAL SERVICE CORPORATION,"4208 SW OREGON ST, SEATTLE, WA, 98116-4236, UNITED STATES",DR CATHERINE J SPARKS,Active
"SPENCER CHIROPRACTIC CENTER, INC., P.S.",601 903 115,WA PROFESSIONAL SERVICE CORPORATION,"1010 S 336TH ST STE 120, FEDERAL WAY, WA, 98003-7354, UNITED STATES",PHILIP SPENCER,Active
SPINAL FITNESS & CHIROPRACTIC CENTER PLLC,603 400 650,WA PROFESSIONAL LIMITED LIABILITY COMPANY,,NEAL C STUMPF,Voluntarily Dissolved
SPINE AND SPORT CHIROPRACTIC LLC,604 343 615,WA LIMITED LIABILITY COMPANY,"8520 STEILACOOM BLVD SW, #101, LAKEWOOD, WA, 98498-4773, UNITED STATES",SPINE AND SPORT CHIROPRACTIC,Active
